"Link Channel","Like","Waktu","Link video","Komentar","Like"
"https://www.youtube.com/@riancokys2873","@riancokys2873","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugx9UiqBHfdMIUsO1W94AaABAg","abis nonton di bioskop kota makassar, rating pribadi gw 9/10 , mana kursinya kebanyakan full , kosong paling bagian baris pas depan layar ,kocak petcah, seisi bioskop ketawa semua , lucu oiii  , makasih banyak banyak ada film yg buat semangat lagi ke bioskop nonton film","25"
"https://www.youtube.com/@boscomilanovlog4419","@boscomilanovlog4419","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzsitIXQzOoqnoZsel4AaABAg","Nilai 9 dari 10. Trllu sungguh keren film ini. Oki rengga benr2 ga ada obatnya. Tmbh lg si jegel ampun2. Ketawa ngakak dr menit awal smpe 2 jam berikutnya non stop. Gilak gilak emg AGAKK LAEENNLAH KELEN","14"
"https://www.youtube.com/@retnod.setyarini5808","@retnod.setyarini5808","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgygvzL249yR7bxN8DR4AaABAg&pp=0gcJCSMANpG00pGi","pasukan berrmarga bangga banget sih tau film ketuaketua  dan komandannya dapat review bagus gini dari cinecrib","14"
"https://www.youtube.com/@wxputra1190","@wxputra1190","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugwvwrn_vRZQMiG1Tz54AaABAg","Kalau cine cribe sdh bilang bagus, berarti valid","51"
"https://www.youtube.com/@js0686","@js0686","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxtswVjdreUAv2cOOR4AaABAg","Pasukan bermarga!!!!!! 
Ramekannnn.....","15"
"https://www.youtube.com/@decustoms1988","@decustoms1988","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwlxXHkjwpaWgIG8qV4AaABAg","Smlm nontom ini emang pecah sh satu studio ngakak dr awal sampe akhir..pas adegan rumah hantuny yg kursi gerak, pintu kebuka kena angin itu serem jg 
Best film awal tahun ini pokokny","13"
"https://www.youtube.com/@djajati2107","@djajati2107","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwC2pMT1iEkGSitAtd4AaABAg","Yg paling pecah pas Beben (mamat Alkatiri) ketakutan baca ayat kursi gak lancar. Pocong jegel datang sambil ikut baca ayat yg lengkap","72"
"https://www.youtube.com/@novicraft4141","@novicraft4141","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyAuLm4IxyMBMx2qg94AaABAg","Sumpeh dr awal sampe akhir ngakak banget.. mana satu bioskop ttp ketawa ngikik2 sampe bagian bloopers.... di tunggu lanjutannya Agak Laen...","5"
"https://www.youtube.com/@nandanurahmad2100","@nandanurahmad2100","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwJZvH4xFegFiElop14AaABAg","Belum puasa udah lebaran aja. Alias nih film emang agak laen. Penulisannya keren, Tawanya full, tangis nya juga ada, warna film nya ciamik. Yok tonton yukkkk. Kalok nonton bawa temen 10 ya biar makin rame nih film ketua","48"
"https://www.youtube.com/@tandrylimmardy5131","@tandrylimmardy5131","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzCf3pMv9nEyFvZXl94AaABAg","Dr trailer jg udh keliatan bagus","9"
"https://www.youtube.com/@busbargrounding","@busbargrounding","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxbFQCJAr_RNiK_NO54AaABAg","gw sekarang berada dititik apapun yang imajinari bikin kedepannya, pasti bakal gw tonton","149"
"https://www.youtube.com/@adrianrafitama","@adrianrafitama","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwuqjeRqsmERvcjvA14AaABAg","scene ""tiup"" sm vidcall ibu boris gaada obat","3"
"https://www.youtube.com/@kevinariiya","@kevinariiya","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxQocsRzEJHekewYa14AaABAg","kemarin nonton di hari pertama satu studio penuhh gokil, berasa nonton stand up ketawa terus dar der dor wkwkwkw. ga heran klo kata bang oki filmnya ambil refrensi dari film 6/45","15"
"https://www.youtube.com/@ariefadha5895","@ariefadha5895","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxbFy0BiHbgF_ZplNp4AaABAg","Bjir, imajinari filmnya baru 3, semuanya sukses buat gue kagum. Pliss pertahankan kualitas kalian imajinari!!!!","67"
"https://www.youtube.com/@BungaSekar-x3f","@BungaSekar-x3f","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwnMCcVtngcmbQZNLB4AaABAg&pp=0gcJCSMANpG00pGi","Baru ygvini reviu yg seru...
Mbayanginya buat jadi penasaran n ikut ketawa juga",""
"https://www.youtube.com/@sejeong558","@sejeong558","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwTXWU4yBN3pPZ-MZt4AaABAg&pp=0gcJCSMANpG00pGi","Dulu ada warkop, sekarang ada Agak Laen.. bisa lah dibikin agk laen selanjutnya","2"
"https://www.youtube.com/@jolenesshi","@jolenesshi","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyRWE-gtgYTjdqP8354AaABAg","Oki Rengga emang kacau banget disini gokil diaaaa, jokes spontan dia diluar stand up juga selalu kena banget. Bangga banget liat dia disini.","6"
"https://www.youtube.com/@awliafadhli","@awliafadhli","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwzNvYM2UEOC6Q8oEp4AaABAg","Denger cerita abang2 berdua ini aj gw ngakak, emang kudu nonton juga ini di bioskop sabtu atau minggu besok.","9"
"https://www.youtube.com/@ardi8615","@ardi8615","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwUVRSY2dtI8vLoeP14AaABAg","ternyata bener sesuai  yg banyak orang bilang pas di promosi filmnya, oki memang bener bener MVP","7"
"https://www.youtube.com/@arimanurung2757","@arimanurung2757","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy_l35gRJR1S0uU1yx4AaABAg","Bagus wee filmnya gak nyesal lah kelen nonton","10"
"https://www.youtube.com/@merang7224","@merang7224","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxJl7996zxMXqHfl2J4AaABAg","Nunggu Review Cine Crib dlu, Ternyata emang Bagus ni film
Seep Auto Nonton....","6"
"https://www.youtube.com/@muhammadhumamh1586","@muhammadhumamh1586","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzdDF_TzY0gmiKCwr54AaABAg","Gaaasss weekend besok nontooonnnn","1"
"https://www.youtube.com/@rizatrisnawati5804","@rizatrisnawati5804","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxPwkpBDkbbyCD1YOx4AaABAg","Tar malem mau nonton nih !","2"
"https://www.youtube.com/@erifbrn","@erifbrn","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzT1IeMh4mR3Mx3kdl4AaABAg","YASH akhirnya gw udah nonton dan baru sekarang nonton review cinecrib dan setuju ini kadidat film terbaik tahun ini","3"
"https://www.youtube.com/@retnowulandjari5238","@retnowulandjari5238","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy0-X4bImEmNMAPOLl4AaABAg","Dah nonton kemarin. 
Keren bangeeet! 

Ngakak petjah!","6"
"https://www.youtube.com/@adrianrafitama","@adrianrafitama","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwuqjeRqsmERvcjvA14AaABAg","scene ""tiup"" sm vidcall ibu boris gaada obat","3"
"https://www.youtube.com/@kevinariiya","@kevinariiya","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxQocsRzEJHekewYa14AaABAg","kemarin nonton di hari pertama satu studio penuhh gokil, berasa nonton stand up ketawa terus dar der dor wkwkwkw. ga heran klo kata bang oki filmnya ambil refrensi dari film 6/45","15"
"https://www.youtube.com/@ariefadha5895","@ariefadha5895","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxbFy0BiHbgF_ZplNp4AaABAg","Bjir, imajinari filmnya baru 3, semuanya sukses buat gue kagum. Pliss pertahankan kualitas kalian imajinari!!!!","67"
"https://www.youtube.com/@BungaSekar-x3f","@BungaSekar-x3f","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwnMCcVtngcmbQZNLB4AaABAg&pp=0gcJCSMANpG00pGi","Baru ygvini reviu yg seru...
Mbayanginya buat jadi penasaran n ikut ketawa juga",""
"https://www.youtube.com/@sejeong558","@sejeong558","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwTXWU4yBN3pPZ-MZt4AaABAg&pp=0gcJCSMANpG00pGi","Dulu ada warkop, sekarang ada Agak Laen.. bisa lah dibikin agk laen selanjutnya","2"
"https://www.youtube.com/@jolenesshi","@jolenesshi","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgyRWE-gtgYTjdqP8354AaABAg","Oki Rengga emang kacau banget disini gokil diaaaa, jokes spontan dia diluar stand up juga selalu kena banget. Bangga banget liat dia disini.","6"
"https://www.youtube.com/@awliafadhli","@awliafadhli","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwzNvYM2UEOC6Q8oEp4AaABAg","Denger cerita abang2 berdua ini aj gw ngakak, emang kudu nonton juga ini di bioskop sabtu atau minggu besok.","9"
"https://www.youtube.com/@ardi8615","@ardi8615","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwUVRSY2dtI8vLoeP14AaABAg","ternyata bener sesuai  yg banyak orang bilang pas di promosi filmnya, oki memang bener bener MVP","7"
"https://www.youtube.com/@arimanurung2757","@arimanurung2757","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy_l35gRJR1S0uU1yx4AaABAg","Bagus wee filmnya gak nyesal lah kelen nonton","10"
"https://www.youtube.com/@merang7224","@merang7224","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxJl7996zxMXqHfl2J4AaABAg","Nunggu Review Cine Crib dlu, Ternyata emang Bagus ni film
Seep Auto Nonton....","6"
"https://www.youtube.com/@muhammadhumamh1586","@muhammadhumamh1586","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzdDF_TzY0gmiKCwr54AaABAg","Gaaasss weekend besok nontooonnnn","1"
"https://www.youtube.com/@rizatrisnawati5804","@rizatrisnawati5804","1 tahun yang lalu (diedit)","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxPwkpBDkbbyCD1YOx4AaABAg","Tar malem mau nonton nih !","2"
"https://www.youtube.com/@erifbrn","@erifbrn","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzT1IeMh4mR3Mx3kdl4AaABAg","YASH akhirnya gw udah nonton dan baru sekarang nonton review cinecrib dan setuju ini kadidat film terbaik tahun ini","3"
"https://www.youtube.com/@retnowulandjari5238","@retnowulandjari5238","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugy0-X4bImEmNMAPOLl4AaABAg","Dah nonton kemarin. 
Keren bangeeet! 

Ngakak petjah!","6"
"https://www.youtube.com/@diegosevino2942","@diegosevino2942","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugwwfs73Fhg0fHBDVrp4AaABAg","Dr kemaren nunggu reviewnya...dan akhirnya memantapkan utk melihat film ini","5"
"https://www.youtube.com/@poezzkitty","@poezzkitty","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxSVlkgF1quLV-VHHV4AaABAg","setujuuu cinecrib.... gw nonton kemarin dan sebioskop bisa ketawa bareng loh, pas terakhirnya tu semua tepuk tangan, pecah banget ... gw kasih 9,5/10 ... bomat deh kalau ada yang berpendapat lain mah, gw pribadi menikmati banget film ini.... highly recommended.","13"
"https://www.youtube.com/@didiettry","@didiettry","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgylL6bReApGgo-aCHh4AaABAg","Satu Studio ngakak terus, entar pas mulai ada drama jadi hening, entar pada ngakak lagi","4"
"https://www.youtube.com/@budirachman4414","@budirachman4414","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgzkqTIm2xfCVVhTdbt4AaABAg","Reancananya mau nonton pas orang pada nyoblos tgl 14 nanti, mudah2an masih tayang.","6"
"https://www.youtube.com/@hirosirobot","@hirosirobot","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgxXDMJMqZ0NyZIjhgp4AaABAg","emang mantab imajinari ini","1"
"https://www.youtube.com/@dvwn5389","@dvwn5389","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=Ugx6wu6HSQP2MmeAEsx4AaABAg","auto otw nonton hari ini!!","1"
"https://www.youtube.com/@minemo9116","@minemo9116","1 tahun yang lalu","https://www.youtube.com/watch?v=xKBJPqAt8gA&lc=UgwJ4I7M-1dbs-PTuZt4AaABAg","Dengerin mereka ngobrol jadi ikut ngebayangin adegan film nya. Ikut ketawa2 sendiri. Tp emang Oki is the best...","3"
