ID Channel,Waktu,Komentar,genre,Like,cleaning,case_folding,hasil_normalisasi,tokenize,stopword_removal,stemming_data
0,1 tahun yang lalu,"Nunggu Review Cine Crib dlu, Ternyata emang Bagus ni film
Seep Auto Nonton....",komedi,@merang7224,"Nunggu Review Cine Crib dlu Ternyata emang Bagus ni film
Seep Auto Nonton","nunggu review cine crib dlu ternyata emang bagus ni film
seep auto nonton",menunggu review cine crib dulu ternyata memang bagus nih film seep auto menonton,"['menunggu', 'review', 'cine', 'crib', 'dulu', 'ternyata', 'memang', 'bagus', 'nih', 'film', 'seep', 'auto', 'menonton']","['menunggu', 'review', 'cine', 'crib', 'bagus', 'nih', 'film', 'seep', 'auto', 'menonton']",tunggu review cine crib bagus nih film seep auto tonton
0,1 tahun yang lalu,Gaaasss weekend besok nontooonnnn,komedi,@muhammadhumamh1586,Gaaasss weekend besok nontooonnnn,gaaasss weekend besok nontooonnnn,gaaasss weekend besok nontooonnnn,"['gaaasss', 'weekend', 'besok', 'nontooonnnn']","['gaaasss', 'weekend', 'besok', 'nontooonnnn']",gaaasss weekend besok nontooonnnn
0,1 tahun yang lalu (diedit),Tar malem mau nonton nih !,komedi,@rizatrisnawati5804,Tar malem mau nonton nih ,tar malem mau nonton nih ,entar malam mau menonton nih,"['entar', 'malam', 'mau', 'menonton', 'nih']","['entar', 'malam', 'menonton', 'nih']",entar malam tonton nih
0,1 tahun yang lalu,YASH akhirnya gw udah nonton dan baru sekarang nonton review cinecrib dan setuju ini kadidat film terbaik tahun ini,komedi,@erifbrn,YASH akhirnya gw udah nonton dan baru sekarang nonton review cinecrib dan setuju ini kadidat film terbaik tahun ini,yash akhirnya gw udah nonton dan baru sekarang nonton review cinecrib dan setuju ini kadidat film terbaik tahun ini,yash akhirnya gue sudah menonton dan baru sekarang menonton review cinecrib dan setuju ini kadidat film terbaik tahun ini,"['yash', 'akhirnya', 'gue', 'sudah', 'menonton', 'dan', 'baru', 'sekarang', 'menonton', 'review', 'cinecrib', 'dan', 'setuju', 'ini', 'kadidat', 'film', 'terbaik', 'tahun', 'ini']","['yash', 'gue', 'menonton', 'menonton', 'review', 'cinecrib', 'setuju', 'kadidat', 'film', 'terbaik']",yash gue tonton tonton review cinecrib tuju kadidat film baik
0,1 tahun yang lalu,"Dah nonton kemarin. 
Keren bangeeet! 

Ngakak petjah!",komedi,@retnowulandjari5238,"Dah nonton kemarin 
Keren bangeeet 

Ngakak petjah","dah nonton kemarin 
keren bangeeet 

ngakak petjah",sudah menonton kemarin keren banget mengakak petjah,"['sudah', 'menonton', 'kemarin', 'keren', 'banget', 'mengakak', 'petjah']","['menonton', 'kemarin', 'keren', 'banget', 'mengakak', 'petjah']",tonton kemarin keren banget akak petjah
0,1 tahun yang lalu,Dr kemaren nunggu reviewnya...dan akhirnya memantapkan utk melihat film ini,komedi,@diegosevino2942,Dr kemaren nunggu reviewnyadan akhirnya memantapkan utk melihat film ini,dr kemaren nunggu reviewnyadan akhirnya memantapkan utk melihat film ini,dari kemarin menunggu reviewnyadan akhirnya memantapkan untuk melihat film ini,"['dari', 'kemarin', 'menunggu', 'reviewnyadan', 'akhirnya', 'memantapkan', 'untuk', 'melihat', 'film', 'ini']","['kemarin', 'menunggu', 'reviewnyadan', 'memantapkan', 'film']",kemarin tunggu reviewnyadan mantap film
0,1 tahun yang lalu,"setujuuu cinecrib.... gw nonton kemarin dan sebioskop bisa ketawa bareng loh, pas terakhirnya tu semua tepuk tangan, pecah banget ... gw kasih 9,5/10 ... bomat deh kalau ada yang berpendapat lain mah, gw pribadi menikmati banget film ini.... highly recommended.",komedi,@poezzkitty,setujuuu cinecrib gw nonton kemarin dan sebioskop bisa ketawa bareng loh pas terakhirnya tu semua tepuk tangan pecah banget  gw kasih   bomat deh kalau ada yang berpendapat lain mah gw pribadi menikmati banget film ini highly recommended,setujuuu cinecrib gw nonton kemarin dan sebioskop bisa ketawa bareng loh pas terakhirnya tu semua tepuk tangan pecah banget  gw kasih   bomat deh kalau ada yang berpendapat lain mah gw pribadi menikmati banget film ini highly recommended,setuju cinecrib gue menonton kemarin dan sebioskop bisa ketawa bareng loh pas terakhirnya itu semua tepuk tangan pecah banget gue kasih bomat deh kalau ada yang berpendapat lain mah gue pribadi menikmati banget film ini highly recommended,"['setuju', 'cinecrib', 'gue', 'menonton', 'kemarin', 'dan', 'sebioskop', 'bisa', 'ketawa', 'bareng', 'loh', 'pas', 'terakhirnya', 'itu', 'semua', 'tepuk', 'tangan', 'pecah', 'banget', 'gue', 'kasih', 'bomat', 'deh', 'kalau', 'ada', 'yang', 'berpendapat', 'lain', 'mah', 'gue', 'pribadi', 'menikmati', 'banget', 'film', 'ini', 'highly', 'recommended']","['setuju', 'cinecrib', 'gue', 'menonton', 'kemarin', 'sebioskop', 'ketawa', 'bareng', 'loh', 'pas', 'terakhirnya', 'tepuk', 'tangan', 'pecah', 'banget', 'gue', 'kasih', 'bomat', 'deh', 'berpendapat', 'mah', 'gue', 'pribadi', 'menikmati', 'banget', 'film', 'highly', 'recommended']",tuju cinecrib gue tonton kemarin bioskop ketawa bareng loh pas akhir tepuk tangan pecah banget gue kasih bomat deh dapat mah gue pribadi nikmat banget film highly recommended
0,1 tahun yang lalu,"Satu Studio ngakak terus, entar pas mulai ada drama jadi hening, entar pada ngakak lagi",komedi,@didiettry,Satu Studio ngakak terus entar pas mulai ada drama jadi hening entar pada ngakak lagi,satu studio ngakak terus entar pas mulai ada drama jadi hening entar pada ngakak lagi,satu studio mengakak terus entar pas mulai ada drama jadi hening entar pada mengakak lagi,"['satu', 'studio', 'mengakak', 'terus', 'entar', 'pas', 'mulai', 'ada', 'drama', 'jadi', 'hening', 'entar', 'pada', 'mengakak', 'lagi']","['studio', 'mengakak', 'entar', 'pas', 'drama', 'hening', 'entar', 'mengakak']",studio akak entar pas drama hening entar akak
0,1 tahun yang lalu,"Reancananya mau nonton pas orang pada nyoblos tgl 14 nanti, mudah2an masih tayang.",komedi,@budirachman4414,Reancananya mau nonton pas orang pada nyoblos tgl  nanti mudahan masih tayang,reancananya mau nonton pas orang pada nyoblos tgl  nanti mudahan masih tayang,reancananya mau menonton pas orang pada nyoblos tanggal nanti mudahan masih tayang,"['reancananya', 'mau', 'menonton', 'pas', 'orang', 'pada', 'nyoblos', 'tanggal', 'nanti', 'mudahan', 'masih', 'tayang']","['reancananya', 'menonton', 'pas', 'orang', 'nyoblos', 'tanggal', 'mudahan', 'tayang']",reancananya tonton pas orang nyoblos tanggal mudah tayang
0,1 tahun yang lalu,emang mantab imajinari ini,komedi,@hirosirobot,emang mantab imajinari ini,emang mantab imajinari ini,memang mantab imajinari ini,"['memang', 'mantab', 'imajinari', 'ini']","['mantab', 'imajinari']",mantab imajinari
0,1 tahun yang lalu,auto otw nonton hari ini!!,komedi,@dvwn5389,auto otw nonton hari ini,auto otw nonton hari ini,auto otw menonton hari ini,"['auto', 'otw', 'menonton', 'hari', 'ini']","['auto', 'otw', 'menonton']",auto otw tonton
0,1 tahun yang lalu,Dengerin mereka ngobrol jadi ikut ngebayangin adegan film nya. Ikut ketawa2 sendiri. Tp emang Oki is the best...,komedi,@minemo9116,Dengerin mereka ngobrol jadi ikut ngebayangin adegan film nya Ikut ketawa sendiri Tp emang Oki is the best,dengerin mereka ngobrol jadi ikut ngebayangin adegan film nya ikut ketawa sendiri tp emang oki is the best,mendengarkan mereka mengobrol jadi ikut ngebayangin adegan film ya ikut ketawa sendiri tapi memang oki is the best,"['mendengarkan', 'mereka', 'mengobrol', 'jadi', 'ikut', 'ngebayangin', 'adegan', 'film', 'ya', 'ikut', 'ketawa', 'sendiri', 'tapi', 'memang', 'oki', 'is', 'the', 'best']","['mendengarkan', 'mengobrol', 'ngebayangin', 'adegan', 'film', 'ya', 'ketawa', 'oki', 'is', 'the', 'best']",dengar obrol ngebayangin adegan film ya ketawa oki is the best
0,1 tahun yang lalu,Imajinari memberikan standart film indo,komedi,@CliperGames96,Imajinari memberikan standart film indo,imajinari memberikan standart film indo,imajinari memberikan standart film indonesia,"['imajinari', 'memberikan', 'standart', 'film', 'indonesia']","['imajinari', 'standart', 'film', 'indonesia']",imajinari standart film indonesia
